,K,mag,filename
425,328.18,0.006429134384201685,IC425K3.2818e+02mag6.4291e-03.bin
429,53.242,0.010091742050522485,IC429K5.3242e+01mag1.0092e-02.bin
433,90.431,0.0017179510368758144,IC433K9.0431e+01mag1.7180e-03.bin
434,50.931000000000004,0.008717268237106298,IC434K5.0931e+01mag8.7173e-03.bin
435,735.23,0.24114769449107634,IC435K7.3523e+02mag2.4115e-01.bin
437,119.24,0.016084154102786834,IC437K1.1924e+02mag1.6084e-02.bin
439,151.26,0.3352475373535305,IC439K1.5126e+02mag3.3525e-01.bin
441,875.54,0.01544848682856085,IC441K8.7554e+02mag1.5448e-02.bin
442,61.568000000000005,0.003932058073551618,IC442K6.1568e+01mag3.9321e-03.bin
443,252.42,0.6026871392457838,IC443K2.5242e+02mag6.0269e-01.bin
445,193.43,0.0015737569381218215,IC445K1.9343e+02mag1.5738e-03.bin
446,341.05,0.017466904616127276,IC446K3.4105e+02mag1.7467e-02.bin
447,42.373999999999995,0.01805403683014821,IC447K4.2374e+01mag1.8054e-02.bin
449,131.0,0.04072804063123506,IC449K1.3100e+02mag4.0728e-02.bin
450,363.78,0.0788365379464724,IC450K3.6378e+02mag7.8837e-02.bin
451,351.54,0.0975877687696837,IC451K3.5154e+02mag9.7588e-02.bin
452,592.73,0.019069136097749344,IC452K5.9273e+02mag1.9069e-02.bin
